Table 1.2 Occupational projections, 2023-2033, and worker characteristics, 2023 (Numbers in thousands, except percentages and median annual wages)
An * after an occupation title represents a user-created occupation.

Link to Employment Data Definitions: https://www.bls.gov/emp/documentation/definitions.htm
Link to Original Dataset: https://www.bls.gov/emp/tables/occupational-projections-and-characteristics.htm

Occupation                                                                                                       |Type      |Employment 2023 |Employment 2033 |% Distribution 2023 |% Distribution 2033 |Change 2023-33 |% Change 2023-33 |% Self Employed |Annual Openings 2023-33 |Median Wage 2024 |Typical Education Needed          |Related Work Experience |Typical On-the-Job Training       |
=====================================================================================================================================================================================================================================================================================================================================================================================================|
Survey researchers                                                                                               |Line item |9.7             |9.7             |0                   |0                   |0.0            |0.0              |5.8             |0.8                     |63380            |Master's degree                   |None                    |None                              |
Title examiners, abstractors, and searchers                                                                      |Line item |56.3            |56.9            |0                   |0                   |0.6            |1.1              |4.3             |5.1                     |54980            |High school diploma or equivalent |None                    |Moderate-term on-the-job training |
Top executives                                                                                                   |Summary   |3977.7          |4206.7          |2.4                 |2.4                 |229.0          |5.8              |2.7             |346.5                   |104990           |-                                 |-                       |-                                 |
Chief executives                                                                                                 |Line item |313.9           |331.1           |0.2                 |0.2                 |17.2           |5.5              |28.1            |23                      |206420           |Bachelor's degree                 |5 years or more         |None                              |
General and operations managers                                                                                  |Line item |3630.1          |3840.5          |2.2                 |2.2                 |210.4          |5.8              |0.5             |320.8                   |102950           |Bachelor's degree                 |5 years or more         |None                              |
Legislators                                                                                                      |Line item |33.7            |35              |0                   |0                   |1.3            |3.9              |-               |2.7                     |44810            |Bachelor's degree                 |Less than 5 years       |None                              |
Advertising, marketing, promotions, public relations, and sales managers                                         |Summary   |1112.6          |1185.7          |0.7                 |0.7                 |73.1           |6.6              |1.3             |94.1                    |144530           |-                                 |-                       |-                                 |
Advertising and promotions managers                                                                              |Line item |22.2            |21.7            |0                   |0                   |-0.5           |-2.3             |6.2             |1.8                     |126960           |Bachelor's degree                 |Less than 5 years       |None                              |
Marketing and sales managers                                                                                     |Summary   |973.8           |1039.8          |0.6                 |0.6                 |66.0           |6.8              |1.3             |83.4                    |148870           |-                                 |-                       |-                                 |
Marketing managers                                                                                               |Line item |389.1           |420.8           |0.2                 |0.2                 |31.7           |8.1              |3.2             |34.8                    |161030           |Bachelor's degree                 |5 years or more         |None                              |
Sales managers                                                                                                   |Line item |584.8           |619.1           |0.3                 |0.4                 |34.3           |5.9              |0.1             |48.6                    |138060           |Bachelor's degree                 |Less than 5 years       |None                              |
Public relations and fundraising managers                                                                        |Summary   |116.6           |124.2           |0.1                 |0.1                 |7.6            |6.5              |-               |8.9                     |132870           |-                                 |-                       |-                                 |
Public relations managers                                                                                        |Line item |78.4            |83.8            |0                   |0                   |5.4            |6.9              |-               |6                       |138520           |Bachelor's degree                 |5 years or more         |None                              |
Fundraising managers                                                                                             |Line item |38.2            |40.5            |0                   |0                   |2.3            |6.0              |-               |2.9                     |123480           |Bachelor's degree                 |5 years or more         |None                              |
Operations specialties managers                                                                                  |Summary   |2642.4          |2957.8          |1.6                 |1.7                 |315.4          |11.9             |1.6             |230.6                   |140330           |-                                 |-                       |-                                 |
Administrative services and facilities managers                                                                  |Summary   |397.3           |420.8           |0.2                 |0.2                 |23.5           |5.9              |0.3             |35.2                    |106880           |-                                 |-                       |-                                 |
Administrative services managers                                                                                 |Line item |256.8           |272.8           |0.2                 |0.2                 |16.0           |6.2              |-               |22.7                    |108390           |Bachelor's degree                 |Less than 5 years       |None                              |
Facilities managers                                                                                              |Line item |140.5           |147.9           |0.1                 |0.1                 |7.4            |5.3              |0.7             |12.5                    |104690           |Bachelor's degree                 |Less than 5 years       |None                              |
Computer and information systems managers                                                                        |Line item |613.5           |720.4           |0.4                 |0.4                 |106.9          |17.4             |1               |54.7                    |171200           |Bachelor's degree                 |5 years or more         |None                              |
Financial managers                                                                                               |Line item |837.1           |975.3           |0.5                 |0.6                 |138.2          |16.5             |2.4             |75.1                    |161700           |Bachelor's degree                 |5 years or more         |None                              |
Industrial production managers                                                                                   |Line item |230.1           |236.7           |0.1                 |0.1                 |6.6            |2.9              |1.4             |17.1                    |121440           |Bachelor's degree                 |5 years or more         |None                              |
Purchasing managers                                                                                              |Line item |81.3            |85.4            |0                   |0                   |4.1            |5.0              |3.8             |6.5                     |139510           |Bachelor's degree                 |5 years or more         |None                              |
Transportation, storage, and distribution managers                                                               |Line item |211.8           |230.8           |0.1                 |0.1                 |19.0           |9.0              |3.7             |19.7                    |102010           |High school diploma or equivalent |5 years or more         |None                              |
Compensation and benefits managers                                                                               |Line item |19.1            |19.5            |0                   |0                   |0.4            |2.1              |-               |1.3                     |140360           |Bachelor's degree                 |5 years or more         |None                              |
Human resources managers                                                                                         |Line item |208.9           |222.5           |0.1                 |0.1                 |13.6           |6.5              |1.1             |17.4                    |140030           |Bachelor's degree                 |5 years or more         |None                              |
Training and development managers                                                                                |Line item |43.2            |46.4            |0                   |0                   |3.2            |7.4              |-               |3.6                     |127090           |Bachelor's degree                 |5 years or more         |None                              |
Other management occupations                                                                                     |Summary   |5448.6          |5790.7          |3.2                 |3.3                 |342.1          |6.3              |33.5            |488.7                   |104030           |-                                 |-                       |-                                 |
Farmers, ranchers, and other agricultural managers                                                               |Line item |856.6           |842.9           |0.5                 |0.5                 |-13.7          |-1.6             |65.2            |88.5                    |87980            |High school diploma or equivalent |5 years or more         |None                              |
Construction managers                                                                                            |Line item |520.9           |568.5           |0.3                 |0.3                 |47.6           |9.1              |35.8            |45.8                    |106980           |Bachelor's degree                 |None                    |Moderate-term on-the-job training |
Education and childcare administrators                                                                           |Summary   |671.6           |676             |0.4                 |0.4                 |4.4            |0.7              |2.6             |45.2                    |100650           |-                                 |-                       |-                                 |
Education and childcare administrators, preschool and daycare                                                    |Line item |80.9            |79.2            |0                   |0                   |-1.7           |-2.1             |5.9             |5.1                     |56270            |Bachelor's degree                 |Less than 5 years       |None                              |
Education administrators, kindergarten through secondary                                                         |Line item |316.6           |315             |0.2                 |0.2                 |-1.6           |-0.5             |1.4             |20.8                    |104070           |Master's degree                   |5 years or more         |None                              |
Education administrators, postsecondary                                                                          |Line item |216.4           |222.7           |0.1                 |0.1                 |6.3            |2.9              |2.7             |15.2                    |103960           |Master's degree                   |Less than 5 years       |None                              |
Education administrators, all other                                                                              |Line item |57.7            |59.1            |0                   |0                   |1.4            |2.4              |4.3             |4                       |89040            |Bachelor's degree                 |Less than 5 years       |None                              |
Architectural and engineering managers                                                                           |Line item |210.2           |221.8           |0.1                 |0.1                 |11.6           |5.5              |-               |15                      |167740           |Bachelor's degree                 |5 years or more         |None                              |
Food service managers                                                                                            |Line item |393.6           |399.5           |0.2                 |0.2                 |5.9            |1.5              |36.4            |44.5                    |65310            |High school diploma or equivalent |Less than 5 years       |Short-term on-the-job training    |
Entertainment and recreation managers                                                                            |Summary   |41.1            |45.2            |0                   |0                   |4.1            |10.0             |11.2            |5.4                     |77650            |-                                 |-                       |-                                 |
Gambling managers                                                                                                |Line item |5.3             |5.5             |0                   |0                   |0.2            |3.8              |9.5             |0.7                     |85580            |High school diploma or equivalent |Less than 5 years       |None                              |
Entertainment and recreation managers, except gambling                                                           |Line item |35.8            |39.7            |0                   |0                   |3.9            |10.9             |11.4            |4.8                     |77180            |Bachelor's degree                 |Less than 5 years       |None                              |
Lodging managers                                                                                                 |Line item |53.3            |58.6            |0                   |0                   |5.3            |9.9              |18.7            |6                       |68130            |High school diploma or equivalent |Less than 5 years       |None                              |
Medical and health services managers                                                                             |Line item |562.7           |723.3           |0.3                 |0.4                 |160.6          |28.5             |5.1             |61.4                    |117960           |Bachelor's degree                 |Less than 5 years       |None                              |
Natural sciences managers                                                                                        |Line item |100.1           |107.6           |0.1                 |0.1                 |7.5            |7.5              |-               |8.3                     |161180           |Bachelor's degree                 |5 years or more         |None                              |
Postmasters and mail superintendents                                                                             |Line item |13.2            |12.8            |0                   |0                   |-0.4           |-3.0             |-               |0.9                     |92730            |High school diploma or equivalent |Less than 5 years       |Moderate-term on-the-job training |
Property, real estate, and community association managers                                                        |Line item |467.1           |482.2           |0.3                 |0.3                 |15.1           |3.2              |37.4            |37.8                    |66700            |High school diploma or equivalent |Less than 5 years       |Short-term on-the-job training    |
Social and community service managers                                                                            |Line item |199.5           |215.9           |0.1                 |0.1                 |16.4           |8.2              |7.2             |17.8                    |78240            |Bachelor's degree                 |Less than 5 years       |None                              |
Emergency management directors                                                                                   |Line item |12.4            |12.9            |0                   |0                   |0.5            |4.0              |-               |1                       |86130            |Bachelor's degree                 |5 years or more         |None                              |
Personal service managers                                                                                        |Summary   |63.7            |67.2            |0                   |0                   |3.5            |5.5              |57.5            |5.2                     |70560            |-                                 |-                       |-                                 |
Funeral home managers                                                                                            |Line item |35.8            |37.4            |0                   |0                   |1.6            |4.5              |58.3            |2.9                     |76830            |Associate's degree                |Less than 5 years       |None                              |
